Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
SHA-256,PoW,21089348.999,21000000,-0.14460203260190516,-1.2401325104491996,0.21078562218566993,IXcoin,0
Scrypt,PoW,151447649.8,265420800,-0.16451908956747952,-1.145148644904636,0.022972959386319824,KrugerCoin,0
Scrypt,PoW,19326319.14375,20000000,-0.16787465007112884,-1.1450661533949034,0.02302972377917447,LuckyCoin,0
Scrypt,PoW,1104344.22938102,1350000,-0.16822969867603266,-1.1450621634490963,0.02303696422385618,Litebar ,0
SHA3,PoW/PoS,61445805.0,100000000,-0.3751212959101593,2.854061625584596,-0.7985250486102689,MaxCoin,1
Scrypt,PoW,38151999.9930997,42000000,-0.16748846941747353,-1.1450716034987893,0.02302213767615938,MegaCoin,0
HybridScryptHash256,PoW,40431856.9,200000000,-0.15758475638832561,-2.220113522136759,0.37175544507034647,MediterraneanCoin,0
Scrypt,PoS,21293925445.4969,0,-0.02313917494857807,0.7081922672692431,-0.25378185771908696,MintCoin,1
Scrypt,PoW,5804204.88794916,10000000,-0.1681109021032413,-1.1450650588881874,0.02303494808784262,MinCoin,0
SHA-256,PoW/PoS,1613836099.99999,2419200000,-0.2752393019258215,0.8271840943436781,-0.3582240279666745,MazaCoin,1
Scrypt,PoS,16180000.0,16180000,-0.2832238045128683,0.7022582744582805,-0.24617098753902159,Nautilus Coin,1
X13,PoW/PoS,66087096.2077108,0,-0.28052451075696144,1.7583963108495464,-0.6315256106288056,NavCoin,1
Scrypt,PoW,2366066305.76482,15000000000,-0.032977772259730004,-1.1516937213155503,0.021610273478145064,NobleCoin,0
SHA-256,PoW,14736400.0,21000000,-0.14467972096020607,-1.2401342798279817,0.21078789476900842,Namecoin,0
Scrypt,PoW,334709223.483138,337000000,-0.16177058338957387,-1.145132395899206,0.022904631579923822,NyanCoin,0
X13,PoW/PoS,15156364.3306548,0,-0.2811473278057386,1.7583821259794397,-0.6315073916359092,OpalCoin,1
NeoScrypt,PoW/PoS,3220616.279225,3770000,-0.34813129785712676,0.5557967495448748,-0.4012221991270053,Orbitcoin,1
Scrypt,PoW/PoS,222677226.014206,420000000,-0.32966848359734124,0.9228347299304114,-0.5454055471195297,PotCoin,1
Scrypt,PoW/PoS,73959274.625,98000000,-0.3337699002566507,0.9229498210836237,-0.5453398808935983,PhoenixCoin,1
Scrypt,PoW/PoS,29315567169.0888,0,0.023122422736887503,0.9311416223449948,-0.5557964242219277,Reddcoin,1
Scrypt,PoW,1104157.42169891,21000000,-0.16809039416158686,-1.145071714562648,0.02303620351285903,RonPaulCoin,0
Scrypt,PoW,24215181.725,250000000,-0.1661843025580101,-1.1451765853786355,0.02301907015172966,StableCoin,0
Scrypt,PoW,25593737.1355044,51200000,-0.16757681822544676,-1.1450795728818672,0.02302627383950176,SmartCoin,0
X11,PoS,50707661.7493518,0,-0.3581298116498038,1.0121750957497386,-0.24222455058004988,SuperCoin,1
X11,PoW/PoS,1177.0,1000,-0.41058259605664815,1.232876196552898,-0.541351468559635,SyncCoin,1
SHA-256,PoW,563336541.299966,888000000,-0.13182453629809837,-1.2404029008145516,0.21055808182824284,SysCoin,0
Multiple,PoS,80260463.7331396,100000000,-0.2454527573392538,0.11187881160765968,0.09157141981174918,TeslaCoin,1
SHA-256,PoW,43536800.0,47011968,-0.14414311991450968,-1.240138901896672,0.21077658517030232,TigerCoin,0
PHI1612,PoS,1622326490.46336,2300000000,-0.2882316856529317,1.5097464593538195,-0.3612336881451426,TittieCoin,1
X11,PoW/PoS,1431851.00002479,10000000,-0.41049421380622875,1.2328717349091363,-0.5413523674673546,TorCoin,1
SHA-256,PoW,22935396.0,42000000,-0.14443058033719275,-1.2401422035424639,0.2107841487708697,TerraCoin,0
SHA-256,PoW,2278150.0,80000000,-0.14441379439493812,-1.240166427099889,0.21079006707750558,UnbreakableCoin,0
SHA-256,PoW,200911.79151896,250000,-0.14500457634510355,-1.2401282424236302,0.2107938977844387,Unobtanium,0
X11,PoW,1207310.0,0,-0.2434515394993039,-0.8351621381390456,0.0269951414552394,UroCoin,0
Scrypt,PoW/PoS,1098952592.6,1600000000,-0.31058727066816855,0.9225052342469672,-0.5457646946153072,UnitaryStatus Dollar,1
Scrypt,PoW/PoS,50235211.141939,100000000,-0.3340458360927125,0.9229422415056915,-0.545331471730482,UltraCoin,1
Scrypt,PoW,23150892.1679687,23000000,-0.1678066122707921,-1.1450665463789904,0.02302823949975985,ViaCoin,0
Scrypt,PoST,32021108.4136696,0,-0.28387078948411304,0.13277824066710717,-0.15842668837442522,VeriCoin,1
Lyra2REv2,PoW,51173723.8166347,84000000,-0.17600789523047242,-1.2345907635493332,0.153461751854116,Vertcoin,0
Scrypt,PoW,119606941.0,265420800,-0.1649084602981743,-1.1451575129554532,0.02298434947686162,WorldCoin,0
X11,PoW/PoS,6950831.0970606,5500000,-0.4104586261304682,1.2328754592827484,-0.5413541674985655,X11 Coin,1
Multiple,PoS,100000000.0,0,-0.24592030876625148,0.11193291523586588,0.09156823020774053,Crypti,1
SHA-256,PoW,39195739.362088,45000000,-0.14421046913253513,-1.2401391330030462,0.2107782159551178,JouleCoin,0
X13,PoW/PoS,33093725.4123502,0,-0.2809279770546298,1.7583871217673972,-0.6315138082068498,StealthCoin,1
Scrypt,PoW/PoS,147990237.978331,1000000000,-0.3264699543431468,0.9225320143503689,-0.5454012855432552,ZCC Coin,1
CryptoNight,PoW,184066828814.0,184467440735,3.852165899098881,-2.1706157157346917,0.39139093123870844,ByteCoin,0
